Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,Blue,Game Royal/Black/White,Best Seller,36.03,1,1,3,0,1,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Game Royal,4,3,30
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,Green,Pacific Moss/Cool Grey/Summit White/Black,Best Seller,36.03,1,1,4,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pacific Moss,4,3,30
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,White,White/White/Volt,Best Seller,36.03,1,1,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,White,4,3,30
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,White,White/White/Black,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,White,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Purple,Court Purple/Black/White,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Court Purple,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Red,Team Crimson/Black/White,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Team Crimson,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Green,Pro Green/Black/White,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pro Green,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Blue,College Navy/Black/White,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,College Navy,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Blue,University Blue/Black/White,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,University Blue,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Brown,Vegas Gold/Black/White,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Vegas Gold,4,3,0
