,Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score,Sale Quantity,Label,High_Sales
2442,Nike Dunk Low Unlocked By Keon Coleman,Custom Shoes,160.0,160,0,Pink,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Multi-Color,7,2,1,727,0,0
2443,Nike Dunk Low Unlocked By You,Custom Shoes,160.0,160,0,Pink,Multi-Color/Multi-Color/Multi-Color,Customize,0.0,0,2,3,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Multi-Color,6,2,4,8,0,0
2444,Converse x Stüssy,Chuck 70 Snakeskin,110.0,110,0,Grey,Grey/Black/Egret,,0.0,0,2,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Grey,3,3,8,241,0,0
2445,Converse x thisisneverthat,One Star Pro,90.0,90,0,Green,Green,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Green,3,3,6,835,0,1
2446,Converse x Daily Paper,Chuck 70,110.0,110,0,Black,Black,,0.0,0,2,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,2,9,850,0,1
2447,Converse x UNDEFEATED,One Star Academy Pro,95.0,95,0,Black,Black,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,3,4,6,512,0,0
2448,Converse x UNDEFEATED,One Star Academy Pro,95.0,95,0,Brown,Brown,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Brown,3,4,3,300,0,0
2449,Converse x IRAK NYC,One Star Pro,110.0,110,0,Blue,Navy/Black,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Navy,4,3,1,347,0,0
2450,Converse x IRAK NYC,One Star Pro,110.0,110,0,Brown,Amber Brown,,0.0,0,2,1,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Amber Brown,4,3,3,671,0,0
2451,Nike P-6000,Shoes,110.0,110,0,White,White/Metallic Platinum/Dark Charcoal/Varsity Red,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,2,1,9,790,0,0
2452,Nike SB Charge Canvas,Skate Shoes,65.0,65,0,Black,Black/White,,0.0,0,1,2,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,2,6,596,0,0
2453,Nike SB Charge Canvas,Skate Shoes,65.0,65,0,Black,Black/Black/Gum Light Brown/Black,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,2,7,644,0,0
2454,Nike Air Max Plus 3,Men's Shoes,190.0,190,0,White,White/Black/Gunsmoke/Team Orange,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,5,2,9,871,0,1
2455,Nike Court Vision Mid,Men's Shoes,90.0,90,0,Black,Black/Black/Black,,0.0,0,1,3,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,2,6,786,0,0
2456,Air Jordan 1 Low SE,Women's Shoe,125.0,125,0,Black,Black/White/Metallic Silver,,0.0,0,2,3,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,5,2,8,800,0,1
2457,Nike Air Max Goaterra 2.0,Men's Boots,150.0,150,0,Brown,Velvet Brown/Baroque Brown/Olive Khaki/Velvet Brown,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Velvet Brown,5,2,10,894,0,1
2458,Nike Zoom Hyperspeed Court SE,Volleyball Shoes,95.0,95,0,Multi-Color,Multi-Color/Multi-Color,,0.0,0,1,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Multi-Color,5,2,4,841,0,1
2459,Nike Alpha Huarache Varsity 4 Low,Men's Baseball Cleats,75.0,75,0,Black,Black/Dark Smoke Grey/White,,0.0,0,1,3,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,6,3,7,545,0,0
2460,Nike Alpha Huarache Varsity 4 Low,Men's Baseball Cleats,75.0,75,0,Grey,Wolf Grey/White/Dark Smoke Grey,,0.0,0,1,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Wolf Grey,6,3,7,749,0,0
2461,Nike Alpha Huarache Varsity 4 Low,Men's Baseball Cleats,75.0,75,0,White,White/Black,,0.0,0,1,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,6,3,6,703,0,0
2462,Nike Alpha Huarache Varsity 4 Low,Men's Baseball Cleats,75.0,75,0,White,White/Hyper Royal,,0.0,0,1,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,6,3,6,909,0,1
2463,Nike Alpha Huarache Varsity 4 Low,Men's Baseball Cleats,75.0,75,0,White,White/University Red,,0.0,0,1,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,6,3,9,658,0,0
2464,Nike Air Max 1 '86 Premium,Men's Shoes,150.0,150,0,White,Summit White/Light Pumice/Black/Cosmic Clay,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Summit White,6,2,6,738,0,0
2465,Nike Zoom Mamba 6,Track & Field Distance Spikes,120.0,120,0,White,White/Bright Spruce/Vapor Green/Black,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,5,9,821,0,1
2466,Nike Zoom Mamba 6,Track & Field Distance Spikes,120.0,120,0,Red,Bright Crimson/Hyper Orange/Barely Volt/Washed Coral,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Bright Crimson,4,5,4,868,0,1
2467,Nike Ja Fly 4,Track and Field Sprinting Spikes,120.0,120,0,White,White/Bright Spruce/Electric Algae/Black,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,5,9,829,0,1
2468,Nike Ja Fly 4,Track and Field Sprinting Spikes,120.0,120,0,Red,Bright Crimson/Hyper Orange/Barely Volt/Washed Coral,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Bright Crimson,4,5,8,161,0,0
2469,Nike Air Footscape Woven,Women's Shoes,160.0,160,0,Black,Black/White/Black,Available in SNKRS,0.0,0,2,3,0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,2,6,519,0,0
